,title,OP,desc,date,url
18,Instagram Down Reactions: Users flood Twitter with hard-hitting memes - HT Tech,0,Instagram down reactions: Hilarious reactions on Twitter put things in perspective for Instagram and what users think about such fiascos.,2022-05-25T11:11:45Z,https://tech.hindustantimes.com/tech/news/instagram-down-reactions-users-flood-twitter-with-hard-hitting-memes-71653476208708.html
3,‘Looks like guilt money from the club’: Warriors whacked over Lodge’s $700k handshake - Fox Sports,0,‘Looks like guilt money from the club’: Warriors whacked over Lodge’s $700k handshake,2022-05-25T12:10:00Z,https://www.foxsports.com.au/nrl/nrl-premiership/nrl-2022-matt-lodge-release-warriors-cameron-george-salary-cap-transfers-new-zealand/news-story/639134dc28723a115d8bf6346109bbe9
75,Panelists at UBA Africa Day Event Celebrate Continent's Success Stories - THISDAY Newspapers,0,"The United Bank for Africa (UBA) Plc, celebrated this year’s Africa Day in commemoration of African unity with the fourth edition of its annual UBA Africa Conversations which was held at the Tony E…",2022-05-25T09:05:28Z,https://www.thisdaylive.com/index.php/2022/05/25/panelists-at-uba-africa-day-event-celebrate-continents-success-stories/
35,Katie Price is told she faces jail after admitting to breaching restraining order - Daily Mail,0,"Mother-of-five Price, 44, was arrested on January 21 on suspicion of breaking her restraining order against Michelle Penticost with a foul-mouthed text to her ex.",2022-05-25T10:29:13Z,https://www.dailymail.co.uk/news/article-10853025/Katie-Price-told-faces-jail-admitting-breaching-restraining-order.html
40,"811 PDP Delegates To Decide Atiku, Wike, Obi, Others' Fates At Presidential Primary - SaharaReporters.com",0,"The 811 delegates of the party consist of one national delegate elected from each of the 774 local government areas and one special delegate per state and the Federal Capital Territory (FCT) from among persons living with disabilities, Daily Trust reports.",2022-05-25T10:22:05Z,https://saharareporters.com/2022/05/25/811-pdp-delegates-decide-atiku-wike-obi-others%E2%80%99-fates-presidential-primary
4,NTU scientists discover why NAFLD patients are at higher risk of cardiovascular disease - News-Medical.Net,0,"Patients with non-alcoholic fatty liver disease (NAFLD) are at higher risk of cardiovascular disease, because NAFLD prompts the over-production of a class of proteins that cause inflammation and damage to their blood vessels.",2022-05-25T12:09:00Z,https://www.news-medical.net/news/20220525/NTU-scientists-discover-why-NAFLD-patients-are-at-higher-risk-of-cardiovascular-disease.aspx
41,"Mavericks-Warriors takeaways: Luka Doncic, Dallas make it rain in Game 4, hold off Golden State to stay alive - CBS Sports",0,Dallas staved off elimination and forced Game 5 of the Western Conference finals,2022-05-25T10:17:16Z,https://www.cbssports.com/nba/news/mavericks-warriors-takeaways-luka-doncic-dallas-make-it-rain-in-game-4-hold-off-golden-state-to-stay-alive/live/
89,Monkeypox cases confirmed in East Yorkshire - public health - BBC,2,Health officials say people with unusual rashes should contact NHS 111 or sexual health services.,2022-05-25T08:28:52Z,https://www.bbc.com/news/uk-england-humber-61577056
15,Effectiveness of Antiviral Drugs Against Monkeypox Uncertain: Study - HealthDay News,2,"WEDNESDAY, May 25, 2022 (HealthDay News) -- Up until recently monkeypox infection outside of Africa was rare, but a look back at seven cases occurring in Britain over the past few years gives hints at what drugs work to fight the disease -- and which don’t.Th…",2022-05-25T11:23:32Z,https://consumer.healthday.com/b-5-25-effectiveness-of-antivirals-against-monkeypox-uncertain-study-2657380452.html
36,Rape trial: Woman denies consenting to sex with Gombak Setia rep's aide - Malaysiakini,0,Complainant disagrees with suggestions she enticed the accused into a bedroom.,2022-05-25T10:23:50Z,https://www.malaysiakini.com/news/622440
94,"New Reissue Series, ‘Africa Sessions At Real World’ To Commence In June - uDiscover Music",0,"A new LP and CD reissue series, 'Africa Sessions At Real World' featuring artists such as Remmy Ongala and Farafina starts on June 24, 2022",2022-05-25T08:26:14Z,https://www.udiscovermusic.com/news/africa-sessions-real-world-reissue-series/
29,NASA's InSight Mars lander has taken its final selfie. Here it is - ZDNet,0,"After the selfie, Insight's robotic arm will move to a ""retirement pose"".",2022-05-25T10:46:39Z,https://www.zdnet.com/article/nasas-insight-mars-lander-has-taken-its-final-selfie-here-it-is/
77,Okorocha to remain in EFCC custody till May 30 - Daily Post Nigeria,0,"Detained former Imo State Governor, Anayo Rochas Okorocha is to remain in the custody of the Economic and Financial Crimes Commission (EFCC) till Monday, May 30, when he will be arraigned in court over the N2.9 billion money laundering criminal charges brough…",2022-05-25T08:58:10Z,https://dailypost.ng/2022/05/25/okorocha-to-remain-in-efcc-custody-till-may-30/
37,"​Scotia hikes dividend, smashes Q2 profit estimates - BNN",0,Scotiabank opened earnings season for Canada's Big Six on Wednesday with a beat and a dividend hike as profit climbed in all its major divisions other than capital markets.,2022-05-25T10:23:06Z,http://www.bnnbloomberg.ca/scotia-hikes-dividend-smashes-q2-profit-estimates-1.1770358
